02/02/2021 00:00
Morning
DepotWorker = ID: 2, Kurt Cobain
Shopworker = ID: 3, Freddie Mercury
Shopworker = ID: 5, Lars Ulrich
DepotWorker = ID: 6, James Hetfield
Shopworker = ID: 7, Angelina Jolie
Afternoon
Shopworker = ID: 9, Celine Dion
Shopworker = ID: 11, Bonnie Tyler
DepotWorker = ID: 12, Courtney Love
Shopworker = ID: 14, John Mayer
DepotWorker = ID: 15, Michael Jackson
Evening
DepotWorker = ID: 16, Jon BonJovi
DepotWorker = ID: 17, John Sinatra
DepotWorker = ID: 18, Eddie Van Halen
Shopworker = ID: 19, Joan Jett
Shopworker = ID: 20, Billy Squier
